Tempo;Distanza;Missile_X;Missile_Y;Missile_Z;Vel_Totale;Target_X;Target_Y;Target_Z;guide_force m/s^2;Densità_Aria_kg_m3;Temperatura_Kelvin;Temp_Ristagno_K;Temp_Skin_K;Mach;Pressione_Dinamica_Pa;Pressione_Locale_Pa;Spinta_Motore_N;Spinta_Base_N;Cd_Totale;Cl_Attuale;Fuel_kg;stato sicurezza
0,000;3200,39;-4993,39;0,00;2999,95;660,02;-1793,30;50,00;3001,00;0,00;0,909128;268,65;485,45;288,15;2,009;198019;70108;11889;11770;0,4000;0,0000;27,45;OK
0,010;3200,48;-4986,77;0,00;2999,90;661,29;-1786,60;50,00;3002,00;0,00;0,909132;268,65;486,28;288,26;2,013;198782;70109;11889;11770;0,4000;0,0000;27,39;OK
0,020;3200,57;-4980,14;0,00;2999,85;662,56;-1779,90;50,00;3003,00;0,00;0,909137;268,65;487,12;288,38;2,016;199546;70109;11889;11770;0,4000;0,0000;27,34;OK
0,030;3200,64;-4973,50;0,00;2999,79;663,82;-1773,20;50,00;3004,00;0,00;0,909142;268,65;487,96;288,49;2,020;200313;70110;11889;11770;0,4000;0,0000;27,29;OK
0,040;3200,69;-4966,84;0,00;2999,74;665,09;-1766,50;50,00;3005,00;0,00;0,909147;268,65;488,80;288,61;2,024;201080;70110;11889;11770;0,4000;0,0000;27,24;OK
0,050;3200,74;-4960,17;0,00;2999,68;666,36;-1759,80;50,00;3006,00;0,00;0,909152;268,65;489,64;288,73;2,028;201850;70111;11889;11770;0,4000;0,0000;27,18;OK
0,060;3200,77;-4953,49;0,00;2999,62;667,63;-1753,10;50,00;3007,00;0,00;0,909158;268,65;490,48;288,84;2,032;202621;70111;11889;11770;0,4000;0,0000;27,13;OK
0,070;3200,79;-4946,79;0,00;2999,57;668,90;-1746,40;50,00;3008,00;0,00;0,909163;268,65;491,33;288,96;2,036;203394;70112;11889;11770;0,4000;0,0000;27,08;OK
0,080;3200,80;-4940,09;0,00;2999,51;670,17;-1739,70;50,00;3009,00;0,00;0,909168;268,65;492,17;289,08;2,040;204168;70112;11889;11770;0,4000;0,0000;27,02;OK
0,090;3200,79;-4933,37;0,00;2999,45;671,44;-1733,00;50,00;3010,00;0,15;0,909174;268,65;493,02;289,20;2,043;204945;70113;11889;11770;0,4000;0,0046;26,97;OK
